-848, 289, 2750, 1745, -4539, 2314, 8332,
374, -80, 2537, -990, -4543, 1932, 9357,
-250, -459, 2164, -1763, -5161, 1569, 10382,
-680, -677, 901, 561, -5801, 1244, 11407,
339, -696, -680, 535, -4610, 531, 12432,
439, -861, -1465, 97, -5012, -106, 13457,
621, -974, -2312, -335, -5210, -278, 14482,
861, -939, -3593, -1744, -4949, -275, 15507,
1259, -1103, -4857, -3234, -4635, 513, 16532,
1454, -1728, -5912, -5403, -5436, 1331, 17557,
1423, -2463, -6757, -11003, -6759, 3797, 18582,
1037, -3336, -7983, -16010, -8583, 5438, 19607,
2501, -4013, -8601, -15556, -7402, 6123, 20632,
3116, -4485, -7212, -12678, -5304, 4806, 21657,
2341, -4332, -5281, -8450, -3281, 4297, 22682,
1399, -3514, -4057, -6051, -2556, 3208, 23801,
1832, -2495, -2342, -4499, -1981, 1963, 24826,
2153, -1639, -1033, -3177, -631, 2185, 25851,
1017, -1062, -499, 103, -377, 1948, 26876,
1371, -230, -283, 655, -276, 2821, 27901,
1578, 107, -254, 835, 1080, 2273, 28926,
-9, 579, 308, 449, 1358, 2161, 29951,
-1302, 1266, 1035, -45, 666, 2155, 30976,
-1745, 2118, 1700, -1327, -814, 1987, 32001,
-1911, 3021, 2531, -4540, -1372, 1123, 33026,
-2476, 3639, 3804, -6362, -2110, 978, 34051,
-2404, 4175, 4959, -9656, -3023, 3036, 35076,
-3190, 3944, 5435, -11227, -3860, 1405, 36101,
-1283, 4032, 6028, -13332, -4195, 2595, 37126,
-1005, 3834, 5546, -13185, -3467, 2825, 38151,
-2003, 3264, 5575, -12817, -3221, 2498, 39176,
-2560, 2666, 5618, -11310, -3424, 2104, 40294,
-2534, 1796, 4991, -7801, -3572, 1636, 41319,
-1789, 1085, 3697, -3126, -3342, 1674, 42344,
-1178, 812, 2108, -88, -2357, 2032, 43369,
-1145, 302, 1292, 1204, -2569, 1462, 44394,
33, -119, 1207, 1006, -3889, 1074, 45419,
1117, -178, 1360, 106, -3796, 1572, 46444,
311, -414, 1118, 253, -4569, 1211, 47469,
-157, -597, 30, 180, -5105, 421, 48494,
-122, -677, -1327, 47, -5501, -139, 49519,
109, -764, -2407, -354, -5962, -230, 50544,
582, -758, -3611, -2328, -6034, 17, 51569,
1406, -841, -4930, -7773, -5487, 2029, 52594,
816, -1715, -6140, -12810, -6992, 3260, 53619,
1379, -2385, -7186, -15548, -5294, 3963, 54644,
2961, -3114, -7480, -15823, -4400, 4390, 55669,
3282, -3825, -6502, -13610, -3715, 2899, 56535,
3793, -4021, -5351, -11664, -2944, 3459, 57560,
2651, -3874, -3966, -9090, -2380, 4066, 58585,
1915, -3407, -2926, -6447, -2552, 2836, 59610,
2934, -3251, -2203, -4088, -874, 2660, 60635,
1986, -2932, -1535, -1679, -127, 1543, 61660,
1068, -2078, -907, 176, 410, 1238, 62685,
521, -1123, -403, 742, 1159, 1085, 63710,
18, -170, 0, 1024, 1589, 754, 64735,
-660, 924, 524, 585, 1365, 1360, 65760,
-1247, 1911, 1064, -1112, 311, 1590, 66785,
-1349, 2802, 2010, -3498, -424, 1116, 67810,
-1888, 3840, 2923, -5984, -1214, 1988, 68835,
-2469, 4702, 3849, -9408, -2146, 2758, 69860,
-2789, 5061, 4944, -12293, -3310, 2842, 70885,
-1201, 5121, 5959, -13329, -3030, 4448, 71910,
-1201, 5121, 5959, -13329, -3030, 4448, 73030,
-1881, 4892, 5794, -15018, -2751, -452, 74055,
-1953, 4685, 6362, -17186, -4128, 1520, 75080,
-2376, 3965, 6055, -12417, -3659, 4011, 76105,
-2505, 2795, 4912, -5434, -2980, 2534, 77130,
-1783, 2043, 3583, -1922, -3028, 2254, 78155,
-1506, 1139, 2833, -1028, -3865, 3020, 79180,
-823, 382, 2495, -1238, -5022, 2665, 80205,
30, 131, 2064, -1347, -5494, 2770, 81230,
-553, -221, 1199, 85, -6519, 2368, 82255,
-334, -625, -230, 344, -6408, 1308, 83280,
580, -938, -1697, -151, -5747, 740, 84305,
905, -1162, -2895, -947, -5854, 92, 85330,
954, -1356, -3908, -2006, -5126, 425, 86355,
827, -1562, -5100, -5292, -6279, 1173, 87380,
1387, -1982, -6354, -12724, -6351, 2745, 88405,
1398, -2859, -7637, -17470, -6290, 3737, 89270,
2439, -3434, -8301, -19952, -5583, 3200, 90295,
3033, -4702, -7838, -14931, -2422, 2180, 91320,
2368, -4901, -6600, -9786, -2076, 2498, 92345,
2039, -3911, -4768, -7372, -2513, 2337, 93370,
1532, -2909, -3246, -4371, -1908, 2160, 94395,
1692, -2085, -2185, -2592, -583, 1762, 95420,
766, -1381, -1167, -1186, 29, 1823, 96445,
84, -682, -351, -114, -414, 2221, 97470,
543, 79, 70, 497, -516, 2907, 98495,
696, 540, 537, 39, -1, 2546, 99520,
139, 968, 1099, -474, -464, 2209, 100545,
-240, 1646, 1726, -1216, -1181, 2500, 101570,
-425, 2508, 2372, -2601, -1659, 2496, 102595,
-536, 3433, 2970, -5202, -1814, 1781, 103620,
-1707, 4302, 3397, -7935, -2126, 1211, 104645,
-2327, 5103, 4335, -10732, -2497, 2436, 105764,
-2022, 5080, 5625, -12985, -2572, 2359, 106789,
-1904, 4500, 6327, -13802, -2145, 1199, 107814,
-2357, 3705, 5856, -13588, -1940, 1183, 108839,
-2967, 3099, 4948, -13163, -2193, 1365, 109864,
-2898, 2472, 4350, -10498, -2620, 1509, 110889,
-2636, 1703, 3929, -5589, -3118, 1726, 111914,
-1814, 1110, 3081, -1034, -2878, 2524, 112939,
-1228, 468, 2284, 79, -2809, 2256, 113964,
-825, -182, 2037, 466, -3878, 1565, 114989,
-22, -415, 1818, -102, -3933, 1250, 116014,
-91, -582, 1336, -383, -4363, 725, 117039,
-52, -705, 346, -81, -4637, 395, 118064,
784, -836, -914, 373, -3846, 408, 119089,
877, -883, -1879, 580, -3665, -67, 120114,
962, -896, -2470, -171, -3349, -158, 121139,
945, -849, -3093, -2355, -3949, -70, 122005,
1478, -838, -3708, -7302, -4659, 2129, 123030,
997, -1835, -5097, -12026, -4590, 3688, 124055,
1395, -2789, -7116, -15930, -5072, 5027, 125080,
3017, -3931, -8200, -18245, -4259, 4132, 126105,
3016, -4984, -7424, -15773, -3296, 3156, 127130,
3124, -5124, -6070, -12078, -2416, 3509, 128155,
2308, -4743, -4727, -9778, -1914, 3018, 129180,
1278, -4191, -3621, -6822, -1685, 1768, 130205,
685, -3313, -2714, -4273, -816, 1884, 131230,
108, -2457, -1981, -2108, -644, 1724, 132255,
656, -1679, -1373, -651, -529, 2140, 133280,
843, -1085, -954, 205, -105, 2368, 134305,
762, -703, -640, 951, 368, 2333, 135330,
611, -415, -272, 1733, 383, 2399, 136355,
263, -13, 224, 1666, 288, 2558, 137380,
-39, 383, 612, 1549, 305, 2250, 138500,
-478, 1006, 932, 1011, -350, 1985, 139525,
-560, 1744, 1410, -1221, -1012, 1650, 140550,
-1193, 2430, 2050, -2825, -1079, 1212, 141575,
-2077, 3261, 2905, -4282, -2113, 1843, 142600,
-1222, 4190, 3754, -7584, -2153, 2406, 143625,
-2059, 5069, 4523, -9842, -2301, 2396, 144650,
-1961, 5621, 5755, -12476, -2851, 4224, 145675,
-1281, 5127, 6153, -14246, -2605, 2321, 146700,
-1824, 4437, 6129, -15123, -2740, 967, 147725,
-2618, 3717, 5562, -14251, -2934, 2001, 148750,
-3146, 2787, 4592, -11183, -2865, 2041, 149775,
-3114, 1780, 3759, -5760, -3224, 1374, 150800,
-2081, 1156, 2591, -846, -2565, 1612, 151825,
-959, 773, 1636, -156, -1978, 2061, 152850,
-603, 237, 1472, 341, -2527, 1930, 153875,
-441, -92, 1696, 458, -3206, 1022, 154994,
28, -364, 1715, 208, -3717, 1393, 156019,
-836, -696, 1311, 231, -4598, 1365, 157044,
-808, -872, 273, 315, -5590, 858, 158069,
-144, -912, -1169, 38, -5340, 175, 159094,
441, -916, -2423, -603, -5227, -172, 160119,
1048, -911, -3315, -1659, -4876, 52, 161144,
1493, -873, -4147, -6216, -4872, 1618, 162169,
1466, -1403, -5076, -12295, -4419, 2637, 163194,
1709, -2244, -6314, -18001, -4554, 3054, 164219,
1928, -3185, -7680, -18040, -2612, 2680, 165244,
1861, -3981, -7900, -14952, -2682, 2904, 166269,
2446, -3860, -6697, -12418, -2351, 3310, 167294,
2756, -3902, -5364, -9791, -1440, 2799, 168319,
2096, -3794, -4302, -6795, -2488, 2465, 169344,
1385, -3208, -2950, -3735, -375, 2594, 170369,
1373, -2322, -1665, -1766, -697, 2135, 171235,
1450, -1434, -745, -933, -410, 2345, 172260,
1418, -931, -2368, -339, -169, 2736, 173285,
1001, -716, -197, 445, -44, 2295, 174310,
887, -424, 22, 732, 251, 2014, 175335,
203, -52, 277, 879, 718, 1260, 176360,
-586, 745, 560, 542, 161, 1324, 177385,
-871, 1632, 930, -1194, -496, 1810, 178410,
-1604, 2213, 1330, -2072, -941, 1826, 179435,
-1780, 2941, 2113, -3606, -1309, 1782, 180460,
-2339, 3717, 3225, -5953, -2150, 1639, 181485,
-1572, 4676, 4594, -9572, -2839, 3319, 182510,
-1677, 5128, 5266, -11562, -2047, 3813, 183535,
-2016, 4976, 5950, -13295, -1904, 2246, 184560,
-3188, 4405, 6501, -15068, -2282, 1479, 185585,
-4367, 3264, 6647, -14562, -2872, 1731, 186610,
-3731, 2194, 6124, -12726, -3341, 2063, 187729,
-2264, 1257, 5062, -7488, -4051, 1446, 188754,
-1373, 976, 3020, -2118, -3008, 1348, 189779,
-582, 580, 1009, -295, -2673, 1399, 190804,
702, 245, -63, 567, -2267, 2028, 191829,
1055, -44, -366, 1184, -2257, 1914, 192854,
761, -226, -199, 1085, -2621, 1487, 193879,
613, -455, 151, 707, -2879, 1161, 194904,
413, -761, 347, 566, -3693, 842, 195929,
378, -990, 81, 494, -4081, 705, 196954,
158, -1010, -836, -61, -4271, 815, 197979,
178, -1089, -1966, -746, -4193, 303, 199004,
946, -1022, -3001, -3432, -5480, 814, 200029,
2353, -1254, -3814, -9549, -5179, 2217, 201054,
2155, -2117, -4909, -15577, -4147, 2847, 202079,
1457, -3127, -6485, -17049, -3126, 2113, 203104,
1099, -4016, -7243, -14708, -2023, 1921, 204996,
1059, -4030, -6980, -12946, -2394, 2705, 206021,
2056, -3744, -6100, -10953, -1953, 2761, 207046,
2443, -3699, -4998, -8462, -894, 1934, 208071,
1088, -2869, -2676, -2361, -156, 2196, 209096,
948, -2113, -1739, -654, -137, 1955, 210121,
886, -1338, -916, 393, -117, 1966, 211146,
835, -605, -381, 946, -101, 2242, 212171,
991, -23, 13, 1078, 118, 2611, 213196,
548, 409, 346, 1053, 365, 2359, 214221,
-327, 827, 653, 672, 228, 1816, 215246,
-745, 1433, 1073, -1084, -149, 1328, 216271,
-1227, 2238, 1704, -2159, -644, 1181, 217296,
-1672, 3327, 2691, -4571, -1332, 1819, 218321,
-2173, 4253, 3806, -7820, -1567, 1448, 219346,
-2213, 5070, 5100, -11090, -1971, 1642, 220465,
-1358, 5536, 6469, -14493, -1776, 1843, 221490,
-1495, 5279, 7132, -16217, -1771, 839, 222515,
-2123, 4342, 6637, -15444, -1757, 1014, 223540,
-2581, 3542, 5321, -14960, -1860, 1519, 224565,
-2167, 2785, 4032, -12669, -2253, 1882, 225590,
-1930, 1840, 3445, -6583, -3372, 2067, 226615,
-1838, 1107, 2770, -11, -2884, 3098, 227640,
-2090, 500, 1954, 1370, -3011, 3071, 228665,
-2103, -246, 1654, 300, -3781, 1468, 229690,
-1353, -609, 1328, -952, -3873, 359, 230715,
-391, -770, 699, -962, -3417, 489, 231740,
-429, -820, 99, -263, -3323, 347, 232765,
-41, -783, -585, 179, -3398, 579, 233790,
224, -863, -1393, -7, -3144, -20, 234815,
507, -827, -2052, -407, -3304, -649, 235840,
1051, -740, -2723, -1170, -2998, -281, 236706,
1504, -729, -3519, -3540, -3955, -99, 237731,
1914, -755, -6168, -9321, -3605, 1658, 238756,
874, -1523, -5348, -13265, -3271, 2941, 239781,
574, -2181, -6865, -14419, -2996, 3334, 240806,
1526, -2737, -7590, -15135, -2381, 4089, 241831,
2064, -3420, -7045, -12957, -1653, 3959, 242856,
1883, -3563, -5896, -10813, -1481, 3269, 243881,
1620, -3267, -4553, -8105, -1211, 2666, 244906,
1768, -2948, -3263, -5148, -929, 1885, 245931,
1932, -2425, -2195, -3310, -507, 2242, 246956,
1281, -1980, -1382, -1575, -293, 2064, 247981,
749, -1350, -745, -409, -518, 2430, 249006,
593, -832, -530, 620, -768, 2691, 250031,
930, -357, -343, 1124, -2512, 3097, 251056,
544, -133, -54, 1283, -404, 2742, 252081,
288, 192, 242, 744, -672, 2708, 259351,
235, 555, 290, 12, -406, 2391, 260376,
-433, 1079, 432, -657, -261, 1762, 261401,
-815, 1848, 845, -1203, -601, 1940, 262426,
5333, 4314, -9995, -2566, -970, 1140, 263451,
20499, -8494, -22279, -3068, -1564, 4956, 264476,
20499, -2670, 4625, 5256, -1056, -2022, 265501,
-3949, 1655, 3678, -4880, -3262, 1362, 266526,
-2182, 1075, 2324, -353, -3043, 2141, 267551,
-685, 515, 1219, 1065, -2576, 2519, 268576,
-393, -52, 789, 468, -2810, 1566, 269442,
80, -306, 759, 56, -3269, 1329, 270467,
737, -553, 758, -106, -3036, 1783, 271492,
76, -870, 571, -137, -3467, 1330, 272517,
-212, -1082, -222, -38, -3937, 640, 273542,
-53, -1170, -1100, -15, -4072, 293, 274567,
172, -1182, -1832, -275, -4382, -96, 275592,
1027, -939, -2570, -3068, -4875, 490, 276617,
1933, -917, -3324, -9188, -4432, 1631, 277642,
1402, -1788, -4665, -13864, -3327, 2230, 278667,
1102, -2689, -6808, -16241, -2166, 2262, 279692,
1299, -3352, -7952, -16151, -919, 2280, 280717,
553, -3638, -7564, -13264, -1138, 1700, 281742,
1774, -3314, -6303, -10967, -1447, 1941, 282767,
2963, -3155, -4767, -8428, -883, 2243, 283792,
2240, -2896, -3540, -5409, -695, 2036, 284817,
1713, -2475, -2558, -3357, -1426, 1817, 295161,
-1953, 1799, 1255, -2176, -571, 1074, 296186,
-2230, 2600, 1812, -3856, -1205, 1415, 297211,
-2277, 3336, 2591, -5869, -1559, 1382, 298236,
-2727, 4297, 3803, -8164, -2135, 1264, 299261,
-1470, 5018, 5217, -11516, -2569, 3084, 300286,
-847, 4801, 5690, -13106, -2263, 1289, 301311,
-1294, 4552, 5505, -14169, -2436, 566, 302431,
-2598, 4033, 5115, -14342, -2636, 1965, 303456,
-3587, 3170, 4652, -12570, -2776, 2475, 304481,
-3214, 2108, 4192, -7631, -3600, 2334, 305506,
-2421, 1292, 2922, -2157, -3168, 2348, 306531,
-1976, 483, 1298, 213, -3054, 2252, 307556,
-991, -140, 385, 743, -2743, 1905, 308581,
-151, -386, 5, 588, -2523, 1530, 309606,
84, -595, -144, 477, -2169, 1254, 310631,
-312, -919, -144, 774, -2873, 456, 311656,
9, -1059, -273, 629, -3419, 47, 312681,
4, -950, -653, 186, -3765, 121, 313706,
-5, -865, -1326, 71, -3740, 53, 314731,
284, -741, -2171, -375, -3797, -114, 315756,
1137, -604, -3180, -2355, -3933, -101, 316781,
1663, -528, -3600, -8580, -4027, 2361, 317806,
814, -1256, -4259, -13091, -4201, 3153, 318672,
860, -1924, -5632, -13528, -3639, 3476, 319697,
1870, -2628, -6711, -13727, -2604, 3990, 320722,
1823, -3122, -6226, -12785, -2167, 3752, 321747,
2202, -3346, -5182, -10093, -1556, 2830, 322772,
2601, -3311, -4205, -7365, -1053, 2460, 323797,
2202, -3115, -3061, -4396, -582, 2326, 324822,
1496, -2663, -2125, -2397, -660, 1788, 325847,
1372, -1932, -1294, -1294, -739, 1765, 326872,
1352, -1281, -804, -237, -402, 2091, 327897,
1215, -705, -513, 557, -161, 2168, 328922,
1289, -187, -194, 963, 413, 2790, 329947,
469, 161, 59, 1206, 363, 2519, 330972,
29, 664, 361, 612, 218, 2698, 331997,
-401, 1062, 657, -732, 175, 2226, 333022,
-1173, 1491, 844, -2020, -223, 1223, 334047,
-1499, 2292, 1127, -3175, -988, 1098, 335167,
-1651, 3352, 1730, -5563, -1389, 1185, 336192,
-1995, 4411, 2643, -7977, -1578, 2269, 337217,
-2326, 5147, 3737, -10784, -1723, 2450, 338242,
-2382, 5196, 5011, -12617, -2787, 2205, 339267,
-1023, 4724, 5418, -12510, -2397, 2426, 340292,
-2106, 4159, 4957, -12704, -2241, 1230, 341317,
-3265, 3661, 4922, -13078, -2977, 1945, 342342,
-3099, 2798, 4912, -10796, -3146, 2570, 343367,
-3306, 1702, 4015, -4872, -3271, 1615, 344392,
-3237, 1014, 1910, -1307, -2676, 1280, 345417,
-2032, 449, 209, -161, -2442, 1668, 346442,
-662, -69, -183, 1536, -2252, 2316, 347467,
-487, -461, 82, 2155, -3032, 732, 348492,
458, -373, 443, 466, -3375, 599, 349517,
755, -480, 434, -340, -2962, 785, 350542,
503, -673, 22, -51, -3659, 766, 351408,
744, -728, -752, -120, -4048, 637, 352433,
717, -766, -1743, -22, -4006, 442, 353458,
892, -863, -2740, -1823, -4363, 570, 354483,
1478, -940, -3404, -8352, -4754, 1897, 355508,
980, -1723, -4282, -13157, -3720, 2983, 356533,
758, -2461, -6122, -15373, -3538, 2787, 357558,
1958, -2991, -7203, -15543, -2136, 2408, 358583,
2181, -3707, -6556, -11918, -1609, 2538, 359608,
1787, -3652, -5627, -9787, -1772, 2345, 360633,
1796, -3423, -4569, -7967, -1476, 1746, 361658,
1699, -3094, -3579, -5495, -1231, 1828, 362683,
1296, -2579, -2808, -3768, -1189, 2398, 363708,
673, -2164, -2109, -1741, -1161, 1621, 364733,
1348, -1528, -1515, -249, -2896, 2107, 365758,
1305, -1036, -1179, 507, -279, 2336, 366783,
930, -565, -656, 1111, -6, 2528, 367902,
901, -236, -198, 1506, -120, 3096, 368927,
421, 33, 80, 1504, -265, 3125, 369952,
380, 248, 299, 993, -144, 3021, 370977,
6, 472, 474, 777, 169, 2667, 372002,
-655, 980, 803, -180, -42, 2226, 373027,
-1013, 1510, 1184, -1377, -343, 1312, 374052,
-1291, 2186, 1564, -2323, -1129, 1431, 375077,
-1331, 2957, 2015, -4601, -1359, 1523, 376102,
-1944, 3600, 2818, -5811, -2022, 2001, 377127,
-857, 4382, 4000, -8335, -2588, 3540, 378152,
-1223, 4658, 4394, -10391, -1978, 2660, 379177,
-1205, 4573, 4701, -11743, -1998, 2772, 380202,
-1778, 4279, 4890, -13227, -1950, 1912, 381227,
-2636, 3736, 5187, -13187, -2250, 2028, 382252,
-3192, 3066, 5107, -11820, -2449, 2226, 383277,
-3102, 2242, 4773, -9033, -3004, 2013, 384143,
-2232, 1429, 3932, -3996, -3247, 2191, 385168,
-1805, 921, 2315, -604, -2621, 1929, 386193,
-1350, 278, 1049, 464, -2566, 1748, 387218,
-547, -303, 412, 624, -2727, 1644, 388243,
-24, -611, 239, 579, -2944, 1205, 389268,
80, -730, 214, 469, -2721, 799, 390293,
-177, -825, 161, 310, -3168, 256, 391318,
336, -812, -239, 155, -3518, 186, 392343,
814, -747, -1095, -282, -3115, 69, 393368,
1092, -750, -1952, -1041, -3293, -292, 394393,
1781, -687, -2560, -3859, -3819, 671, 395418,
2048, -942, -3154, -8112, -3458, 1673, 396443,
1798, -1853, -4457, -11026, -2652, 3055, 397468,
1474, -3044, -6131, -12562, -1831, 3760, 398493,
1756, -3862, -6647, -14865, -1964, 3736, 399518,
2065, -4490, -5971, -13276, -1477, 3335, 0,
1794, -4539, -5091, -10806, -1288, 2709, 0,
1685, -4049, -4212, -8226, -1031, 2318, 0,
1356, -3547, -3280, -5595, -950, 1842, 417133,
-1851, 4941, 4079, -9226, -2417, 2807, 418158,
-1181, 5089, 4530, -11557, -2373, 3141, 419183,
-899, 4760, 4794, -12327, -2039, 2697, 420208,
